"Juge"	"Age"	"Sexe"	"CSP"	"Son"	"Rang"	"Innovation"	"Originalité"	"Sobriété"	"Proximité"	"Ludique"	"Haut.de.gamme"	"Simplicité"	"Liberté"	"Humanité"	"Technologie"	"Convivialité"	"Complexité"	"Populaire"	"Sérieux"	"International"	"Passion"	"Artisanal"	"Traditionnal"	"Performence"	"Joyeux"	"Surprenant"	"Excitant"	"Energique"	"Sensuel"	"Triste"	"Chaleureux"	"Sérieux1"	"Note"	"Pourquoi"
"81"	7	19	"F"	"Etudiant"	9	9	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	3	3	3	4	3	3	2	3	8	"allie les valeurs de l'entreprise"
"82"	7	19	"F"	"Etudiant"	10	10	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	2	3	1	3	2	3	2	4	4	"trop sec, hautain"
"83"	7	19	"F"	"Etudiant"	11	11	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	3	2	1	2	3	2	5	2	"pas assez dynamique, ne reflète pas la marque"
"84"	7	19	"F"	"Etudiant"	12	12	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	3	2	1	2	4	1	4	3	"trop populaire, trop triste"
"85"	8	22	"F"	"Etudiant"	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	2	1	4	1	4	2	"trop vieillot, trop pompeux, pas du tout innovant, pas du tout récent"
"86"	8	22	"F"	"Etudiant"	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	4	1	4	2	"beaucoup trop lent"
"87"	8	22	"F"	"Etudiant"	3	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	1	5	1	5	0	"musique mortuaire"
"88"	8	22	"F"	"Etudiant"	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	3	2	3	2	3	4	"manque originalité, manque un joli son, trop aigu"
"89"	8	22	"F"	"Etudiant"	5	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	3	4	1	5	5	"un peu trop classique pour une marque d'innovation"
"90"	8	22	"F"	"Etudiant"	6	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	2	3	2	4	2	4	4	"trop grave pour faire jeune ou independant"
"91"	8	22	"F"	"Etudiant"	7	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	5	2	5	2	"très ceremonieux, ne fait pas du tout logo sonore"
"92"	8	22	"F"	"Etudiant"	8	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	3	3	2	3	3	4	8	"pas complètement innovant mais rythme classe, reflete bien la technologie"
"93"	8	22	"F"	"Etudiant"	9	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	1	3	1	4	6	"froid, pas chaleureux"
"94"	8	22	"F"	"Etudiant"	10	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	3	1	3	2	4	3	"fait mal aux oreilles, mauvaise image de la technologie, surprenant dans le mauvais sens"
"95"	8	22	"F"	"Etudiant"	11	11	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	4	1	4	1	"tres pompeux, classique, pas innovant, pas convivial"
"96"	8	22	"F"	"Etudiant"	12	12	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	2	1	5	1	5	1	"pas innovant"
"97"	9	22	"F"	"Etudiant"	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	2	2	2	4	3	3	3	5	NA
"98"	9	22	"F"	"Etudiant"	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	3	3	3	5	NA
"99"	9	22	"F"	"Etudiant"	3	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	3	3	2	3	3	3	4	3	6	NA
"100"	9	22	"F"	"Etudiant"	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	3	4	3	4	6	NA
"101"	9	22	"F"	"Etudiant"	5	5	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	3	3	2	2	3	4	3	3	5	NA
"102"	9	22	"F"	"Etudiant"	6	6	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	2	5	2	2	3	4	3	2	2	NA
"103"	9	22	"F"	"Etudiant"	7	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	3	3	3	3	3	3	3	4	7	NA
"104"	9	22	"F"	"Etudiant"	8	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	2	3	3	3	3	4	NA
"105"	9	22	"F"	"Etudiant"	9	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	3	3	3	3	3	3	3	8	NA
"106"	9	22	"F"	"Etudiant"	10	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	5	2	3	3	3	4	2	3	NA
"107"	9	22	"F"	"Etudiant"	11	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	4	5	2	3	3	3	4	2	2	NA
"108"	9	22	"F"	"Etudiant"	12	12	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	4	3	3	3	3	3	2	4	"trop strident"
"109"	10	22	"F"	"Etudiant"	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	3	2	3	2	1	3	8	NA
"110"	10	22	"F"	"Etudiant"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	3	2	2	4	2	1	5	NA
"111"	10	22	"F"	"Etudiant"	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	4	2	4	1	3	2	3	3	NA
"112"	10	22	"F"	"Etudiant"	4	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	2	2	1	5	3	3	3	8	NA
"113"	10	22	"F"	"Etudiant"	5	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	2	3	2	3	9	NA
"114"	10	22	"F"	"Etudiant"	6	6	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	3	2	2	2	3	3	3	7	NA
"115"	10	22	"F"	"Etudiant"	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	3	2	1	4	2	4	3	NA
"116"	10	22	"F"	"Etudiant"	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	1	3	3	2	3	7	NA
"117"	10	22	"F"	"Etudiant"	9	9	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	3	3	3	3	3	3	3	4	10	NA
"118"	10	22	"F"	"Etudiant"	10	10	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	2	1	4	3	3	2	NA
"119"	10	22	"F"	"Etudiant"	11	11	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	3	3	2	3	3	3	4	9	NA
"120"	10	22	"F"	"Etudiant"	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	3	3	3	2	3	3	3	9	NA
"121"	11	22	"H"	"Etudiant"	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	3	1	2	2	4	1	3	7	"son très electrique, synonyme de technologie et innovation"
"122"	11	22	"H"	"Etudiant"	2	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	2	2	2	2	4	3	3	5	"son classique, synonyme de précision mais pas vraiment innovant"
"123"	11	22	"H"	"Etudiant"	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	4	2	3	1	4	1	3	3	"musique energique mais trop triste, on croirait dans une église"
"124"	11	22	"H"	"Etudiant"	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	3	3	3	4	3	4	7	"son qui s'affirme, synonyme d'indépendance, précision"
"125"	11	22	"H"	"Etudiant"	5	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	3	4	2	3	8	"classique et serieux, technologie et innovation"
"126"	11	22	"H"	"Etudiant"	6	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	3	4	2	3	6	"son trop lent, pas suffisamment novateur"
"127"	11	22	"H"	"Etudiant"	7	7	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	3	2	3	2	3	2	3	8	"classique et précis"
"128"	11	22	"H"	"Etudiant"	8	8	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1	1	3	5	3	4	3	"trop lent, pas assez excitant"
"129"	11	22	"H"	"Etudiant"	9	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	2	1	2	3	2	2	4	"trop traditionnel, cornemuse, trop artisanal"
"130"	11	22	"H"	"Etudiant"	10	10	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	3	4	3	3	6	"un peu trop lent, un peu trop classique"
"131"	11	22	"H"	"Etudiant"	11	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	4	4	4	1	3	1	2	3	"musique de cirque, pas assez serieux"
"132"	11	22	"H"	"Etudiant"	12	12	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	5	4	4	1	2	1	3	6	"beaucoup trop agressif"
"133"	12	22	"F"	"Etudiant"	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	2	4	1	1	2	1	2	"trop agréssif"
"134"	12	22	"F"	"Etudiant"	2	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	3	3	2	3	2	3	3	3	8	"musique classique, valeur de haut de gamme"
"135"	12	22	"F"	"Etudiant"	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	3	2	3	2	3	5	NA
"136"	12	22	"F"	"Etudiant"	4	4	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	2	3	2	2	2	4	2	4	3	"ton trop grave, trop sérieux, pas d'innovation"
"137"	12	22	"F"	"Etudiant"	5	5	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	3	2	2	2	3	2	3	6	NA
"138"	12	22	"F"	"Etudiant"	6	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	5	2	4	1	1	1	3	2	"trop aigüe, strident, pas convivial"
"139"	12	22	"F"	"Etudiant"	7	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	2	4	2	3	1	3	3	"pas d'innovation, son synthétique, pas du tout haut de gamme"
"140"	12	22	"F"	"Etudiant"	8	8	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	3	3	3	2	3	4	2	6	"trop convivial, pas son haut de gamme avec l'accordéon"
"141"	12	22	"F"	"Etudiant"	9	9	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	4	2	3	6	"Pas assez énergique pour le côté innovation et technologie"
"142"	12	22	"F"	"Etudiant"	10	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	5	4	5	2	2	1	1	5	"son trop strident, pas adapté haut de gamme mais technologie oui."
"143"	12	22	"F"	"Etudiant"	11	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	3	3	2	3	2	3	9	"son innovant, reflète la technologie"
"144"	12	22	"F"	"Etudiant"	12	12	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	4	3	3	3	1	3	4	2	3	"accordéon ni innovant, ni nouveauté technologique, pas adapté"
"145"	13	23	"F"	"Etudiant"	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	3	3	4	2	3	2	1	5	NA
